Location,lat,lng,Original_Location
"Bay Harbor Islands, FL, USA",25.8875948,-80.1311564,"BAY HARBOR ISLANDS, FL"
"York, UK",53.9599651,-1.0872979,"YORK, ENGLAND"
"Cornelius, NC, USA",35.4868032,-80.8600736,"CORNELIUS, NC"
"Vienna, Austria",48.2081743,16.3738189,"WIEN, �STERREICH"
"Auckland, New Zealand",-36.8484597,174.7633315,AUCKLAND
"Surrey, UK",51.3147593,-0.5599501,SURREY. UK
"New York, NY, USA",40.7127753,-74.0059728,NEW YORK CITY
"Sheffield, UK",53.381129,-1.470085,"SHEFFIELD, ENGLAND"
"Portsmouth, UK",50.8197675,-1.0879769,"PORTSMOUTH, ENGLAND"
"128 N Main St, Sand Springs, OK 74063, USA",36.138286,-96.1103695,EARTH
"Dallas, TX, USA",32.7766642,-96.7969879,"DALLAS, TEXAS"
"Reading, UK",51.4542645,-0.9781303,"READING, ENGLAND"
"Shinjuku, Tokyo, Japan",35.6938401,139.7035494,<U+6771><U+4EAC> <U+65B0><U+5BBF><U+533A>
"Birmingham, UK",52.486243,-1.890401,"BIRMINGHAM, UK"
"2601 Harrison St #200, Wichita Falls, TX 76308, USA",33.8876697,-98.5114963,DOMAIN FOR SALE
"Peel, Isle of Man",54.2229722,-4.6956971,"PEEL, ISLE OF MAN"
"New York, NY, USA",40.7127753,-74.0059728,"NEW YORK, NY"
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
Puerto Rico,18.220833,-66.590149,PUERTO RICO
"1246 Towne Lake Pkwy, Woodstock, GA 30189, USA",34.1041709,-84.5396991,BEATING #CANCER TOGETHER
"Home, Jhang Rd, Kabir Wala, Khanewal, Punjab, Pakistan",30.4911461,71.9243183,HOME
"South Staffordshire District, UK",52.6615371,-2.1727481,SOUTH STAFFORDSHIRE
"Plymouth, UK",50.3754565,-4.1426565,"PLYMOUTH, ENGLAND"
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
"Durban, South Africa",-29.8586804,31.0218404,DURBAN SOUTH AFRICA
"England, UK",52.3555177,-1.1743197,NORTH OF ENGLAND
"Paris, France",48.856614,2.3522219,PARIS & TOKYO
"Staffordshire, UK",52.8792745,-2.0571868,STAFFORDSHIRE
"West Berkshire, UK",51.4308255,-1.1444927,"WEST BERKSHIRE, UK"
"Girlguiding NWE Region Headquarters, Guiding Road, Preston PR2 5PD, UK",53.7897081,-2.6541002,"NORTH WEST, ENGLAND"
"Istanbul, Turkey",41.0082376,28.9783589,"ISTANBUL, T�RKIYE"
"Surrey, UK",51.3147593,-0.5599501,SURREY
"Humber, United Kingdom",53.6501443,-0.2822148,"YORKSHIRE AND THE HUMBER, ENGL"
"Hertfordshire, UK",51.8097823,-0.2376744,HERTFORDSHIRE
Kuwait,29.31166,47.481766,KUWAIT
"6 Experian Way, Nottingham NG2 1EP, UK",52.9410933,-1.1612185,"EAST MIDLANDS, ENGLAND"
"England, UK",52.3555177,-1.1743197,"SOUTH EAST, ENGLAND AND UK"
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
Philippines,12.879721,121.774017,LAS ISLAS FILIPINAS
Jersey,49.214439,-2.13125,"JERSEY, CHANNEL ISLANDS"
"105 Cedarhurst Ave, Cedarhurst, NY 11516, USA",40.6218591,-73.723979,CENTRAL PERK
Jeddah Saudi Arabia,21.485811,39.1925048,"JEDDAH, SAUDI ARABIA <U+0001F1F8><U+0001F1E6> <U+FFFD>NGL"
"Sevenoaks, UK",51.27241,0.190898,SEVENOAKS KENT
"England, UK",52.3555177,-1.1743197,ENGLAND
"New Jersey, USA",40.0583238,-74.4056612,NJ
"Norwich, UK",52.6308859,1.297355,"NORWICH, ENGLAND"
"Midrand, South Africa",-25.9991795,28.1262927,MIDRAND
"Scotland, UK",56.4906712,-4.2026458,SCOTLAND
"Araguaína, TO, 65907-230, Brazil",-7.1927733,-48.204827,"ARAGUA�NA, BRASIL"
United States,37.09024,-95.712891,USA
Thailand,15.870032,100.992541,<U+0E1B><U+0E23><U+0E30><U+0E40><U+0E17><U+0E28><U+0E44><U+0E17><U+0E22>
"Gaborone, Botswana",-24.6282079,25.9231471,"GABORONE,BOTSWANA"
"Southwell NG25, UK",53.079044,-0.959921,"SOUTHWELL, ENGLAND"
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Barcelona, Spain",41.3850639,2.1734035,BARCELONA
"Belo Horizonte - State of Minas Gerais, Brazil",-19.9172987,-43.9345593,"BELO HORIZONTE, BRASIL"
Philippines,12.879721,121.774017,PHILIPPINES
"New York, NY, USA",40.7127753,-74.0059728,"NEW YORK, NY"
"Bangkok, Thailand",13.7563309,100.5017651,"BKK, THAILAND"
"Taipei, Taiwan",25.0329694,121.5654177,"<U+53F0><U+5317><U+5E02>, <U+53F0><U+7063>"
"San Francisco Bay Area, CA, USA",37.8271784,-122.2913078,SF BAY AREA
"London, UK",51.5073509,-0.1277583,LONDON
"8911 Daniels Pkwy #5, Fort Myers, FL 33912, USA",26.5487236,-81.8078484,"JAPAN, KOREA,USA"
"New York, NY, USA",40.7127753,-74.0059728,"NEW YORK, USA"
Philippines,12.879721,121.774017,PHILIPPINES
"Havana, Cuba",23.1135925,-82.3665956,"LA HABANA, CUBA"
"The World Building, 8121 Georgia Ave, Silver Spring, MD 20910, USA",38.9910958,-77.0260856,WHERE IN THE WORLD...?
"Stillwater, OK, USA",36.1156071,-97.0583681,"STILLWATER, OK"
"Cape Town, South Africa",-33.9248685,18.4240553,"CAPE TOWN, SOUTH AFRICA"
"Manchester, UK",53.4807593,-2.2426305,"MANCHESTER, ENGLAND"
"Clarin, Misamis Occidental, Philippines",8.2053381,123.8012033,"CLARIN, NORTHERN MINDANAO"
"Los Angeles, CA, USA",34.0522342,-118.2436849,"LOS ANGELES, CA"
"San Francisco, CA, USA",37.7749295,-122.4194155,SAN FRANCISCO
"Johannesburg, South Africa",-26.2041028,28.0473051,JOBURG
"Bristol, UK",51.454513,-2.58791,"BRISTOL, ENGLAND"
"South Beach, Miami Beach, FL 33139, USA",25.7826123,-80.1340772,"SOUTH BEACH, FL"
"Paris, France",48.856614,2.3522219,"PARIS, FRANCE"
"London, UK",51.5073509,-0.1277583,LONDON
"Foz do Iguaçu, State of Paraná, Brazil",-25.5163356,-54.5853764,"FOZ DE IGUAZ�, BRASIL"
Philippines,12.879721,121.774017,REPUBLIKA NG PILIPINAS
"Davao City, Davao del Sur, Philippines",7.190708,125.455341,"DAVAO CITY, DAVAO REGION"
"Cirencester GL7, UK",51.718495,-1.968243,CIRENCESTER
"Ipswich, UK",52.056736,1.14822,"IPSWICH, UK"
"Sydney NSW, Australia",-33.8688197,151.2092955,"SYDNEY, NEW SOUTH WALES"
"Dallas, TX, USA",32.7766642,-96.7969879,"DALLAS, TX"
"Newport Beach, CA, USA",33.6188829,-117.9298493,"NEWPORT BEACH, CA"
"Paris, France",48.856614,2.3522219,LONDON | PARIS | BRUSSELS
"Tampa, FL, USA",27.950575,-82.4571776,"TAMPA, FLA."
"Torbay, UK",50.4392329,-3.5369899,"TORBAY, ENGLAND"
"Basurahan, Eva St, Silay City, Negros Occidental, Philippines",10.7900289,122.967358,BASURAHAN
"Vadodara, Gujarat, India",22.3071588,73.1812187,VADODARA
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
"Maryland, USA",39.0457549,-76.6412712,"MARYLAND, USA"
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"909 W 11th St B, Coffeyville, KS 67337, USA",37.0327112,-95.6296461,PARADISE
"Bangkok, Thailand",13.7563309,100.5017651,"BANGKOK, THAILAND"
"Venice, IL, USA",38.6722727,-90.169832,"VENICE, IL"
"Humber, United Kingdom",53.6501443,-0.2822148,YORKSHIRE AND THE HUMBER
"Cape Town, South Africa",-33.9248685,18.4240553,CAPE TOWN
"Moselle, France",49.0983839,6.5527641,"MOSELLE, LORRAINE"
Colombia,4.570868,-74.297333,COLOMBIA
"Los Angeles, CA, USA",34.0522342,-118.2436849,"LOS ANGELES, CA"
"Northern Ireland, UK",54.7877149,-6.4923145,"NORTHERN IRELAND, UNITED KINGD"
"Long Beach, CA 90806, USA",33.789948,-118.200996,"MAINE, OREGON."
"London, UK",51.5073509,-0.1277583,"LONDON, UNITED KINGDOM <U+0001F1EC><U+FFFD>INGD"
Spain,40.463667,-3.74922,ESPA�A
