Name,Friend Count,Photo Count,Review Count,Elite Member,Funny Count,Cool Count,Useful Count,Review Stars,Review Length,Reviews
Daniel H.,1,0,1,0,0,0,0,5,472,"[<p lang=""en"">I love the South Coast Plaza Jo Malone London. Dana Beyer is very friendly and provide excellent service. I have to travel a lots for my work and don't have time to shop and keep up with news. However Dana always keep me update with new product and special events. Her knowledge of Jo Malone is amazing always go above and beyond to find the product that I want.<br/><br/>\u771f\u7684\u5f88\u611f\u8b1d\u6709Dana\uff0c\u5979\u7684\u670d\u52d9\u8ddf\u77e5\u8b58\u7121\u53ef\u6311\u5254\u3002<br/><br/>Thank you</p>]"
Grace L.,1027,2382,537,1,7,10,12,5,520,"[<p lang=""en"">What a cute little store located on the 2nd floor by the Macy's of South Coast Plaza! <br/><br/>Looking for a Father's Gift... \xa0I got entertained by a sweet girl name Gigi. She was a sweet heart! Very helpful and will help you find the perfect scent!!!<br/><br/>Did you know there is complimentary hand massage with hot towels?<br/>Did you know the fragrances here are for both men and women ?<br/><br/>Definitely a really nice place to visit and get ur hands pampered. And very kind customer service!</p>]"
Ryan P.,176,21909,1497,1,18,12,12,5,3138,"[<p lang=""en"">Go JO-JO it's your birthday<br/>We gon party like it's your birthday <br/>We gon spray MALONE all up in ya face babe!<br/>And we can still buy by JO when<br/>It's not your birthday!<br/><br/>I'm REALLY SURPRISED I have NOT written a review for this place.<br/><br/>Ok here is the info on JO-JO. \xa0It's from London and you can find it in several places AROUND the world. \xa0It's one of ZZZ-BEST fragrances! \xa0You'll know them by their black and white or ivory clean and simple stores and packaging. \xa0They have colognes things for the home such as candles lotions body mist shampoo conditioner bath wash etc. \xa0A REALLY wide variety of things for everyone if you're into smelling GOOD and NOT like a fonky donkey.<br/><br/>JO-JO is NOT just for women or the home but also for men. \xa0YES MEN! \xa0Who doesn't like a MAN that smells like a piece of heaven? \xa0I LOVE a MAN THAT SMALLS GOOD! \xa0It can ALMOST MAKE your clothes fall off! \xa0GOOD GRACIOUS! \xa0They don't have as many colognes for men but men tend to be pretty simple and either like to smell like NOTHING (just clean) or the wood nature forest or camping type smells. \xa0Almost always something outdoorsy for some reason but they do cater to men as well so you might find something her you the man in your life.<br/><br/>Service is ALWAYS TOP NOTCH and I have NEVER experienced a PUSHY sales person which is WONDERFUL! \xa0If you get it as a gift and don't like the fragrance you can exchange it for store credit or something else. \xa0So that works PREFECTLY for me. \xa0They also do GIFT CARDS which are GREAT if you don't know what to get the person they can pick out what they want. \xa0<br/><br/> You can also shop and have items sent to you from online but if you go in he store you can mix and match your fragrance to find something you like that is different. \xa0This is AWESOME. \xa0Remember the days waayyy back when when cosmetic counters would give out samples? \xa0Well that still holds true here. \xa0WHAT WHAT! \xa0Yes so nice to try before you buy. \xa0<br/><br/>They have fruity floral spicy woody light floral citrus and some that are heavier and intense I think is what they call them. \xa0I LOVE vanilla and Anise but I also LOVE the Intense smells which work well with my body chemistry. \xa0That is what is so great about this place. \xa0When you mix and match you are able to find what will work PREFECTLY with YOUR body chemistry. \xa0There is nothing worse than someone that wears something that doesn't go with their body chemistry. \xa0YIKES! \xa0Talk about machine gun to the nostrils. \xa0Oey-vey!<br/><br/>The prices are pretty reasonable and what you'd find for a nice fragrance in any mall or perfume counter. \xa030ml cost $60.00 and 60ML is $120. \xa0And you REALLY don't need a lot. \xa0So there is no need to be HEAVY HANDED. \xa0No matter the scent the body lotion has a lighter scent and I for one can't really smell it when I wear it or even when my friend wears it.<br/><br/>If you're looking for a change than stop by here. \xa0You can also find them in Macy's and Nordstrom but the selection is probably not as vast as in the actual store or on line.</p>]"
Craigers S.,77,2202,875,0,0,0,2,3,394,"[<p lang=""en"">A half hour before closing they were very much intent on end of night tasks rather than helping us. Sales people are hit and miss here. Some very nice at least one snooty one. But I've always enjoyed their very pure fragrances. This was our first visit to this store we tested a few but didn't buy. No samples were offered. I will have to ask next time and see how that goes.</p>]"
Shane D.,126,8,18,0,0,0,1,5,784,"[<p lang=""en"">I am generally a frugal shopper and always window shop at South Coast plaza and then search for deals online to always get the best of all worlds<br/>On one such visit I ended up going into the Jo Malone Boutique store at South Coast Plaza was greeted very professionally and that was the start of an awesome experience.<br/><br/>You occasionally come across the pinnacle of customer service and this was such a visit. The Expert helping me was Gigi and I was vowed by not only her knowledge but most important of all the patience with which she explained every product and took the time for me to experience and savor each one before moving to the next product.<br/><br/>Management Gigi is a keeper and I am a convert to now shopping at your store thanks to her.</p>]"
Elizabeth S.,7,0,13,0,0,0,1,5,550,"[<p lang=""en"">I love coming into the boutique. Dana B. is the absolute best--she is so helpful and knowledgeable and always goes out of her way to find something the customer will love. She goes above and beyond--which is refreshing since many fragrance sales assistants can often be stuck up and unwilling to offer samples or other assistance. Dana is such a doll she's always happy to see her customers and is enthusiastic about Jo Malone--you can tell she personally loves and uses the products herself and she stands behind the product line.</p>]"
Laila S.,1,6,2,0,0,0,1,5,498,"[<p lang=""en"">Jo Malone scents became a household fave....The Store representative DANA BEYER is a SUPER STAR FAVOLOUS!!!. Very friendly accommodating and know how to treat HER customers like Prince and Princesses and I love the feeling of being special while at this Jo Malone Store South Coast OC...What an awesome experience and when you leave the store- we smell soooo good too....thanks Dana..you will see more of us and my High School classmates rocking your store soon...Cheers.....</p>]"
Jessica G.,1,3,14,0,0,0,0,5,309,"[<p lang=""en"">The customer service at Jo Malone is top notch thanks to Dana. She genuinely cares about customers and works to find the best products and print combinations for them. When working and communicating with her coworkers she seems to keep customers her main focus which is always appreciated!</p>]"
Dana G.,83,0,22,0,0,0,0,5,217,"[<p lang=""en"">Jo Malone at South Coast Plaza won the prize when they hired Dana!! She is amazing. My husband bought me cologne at another store but I returned it and rebought it through Dana. She values customers.</p>]"
Sybil L.,32,834,19,0,0,0,0,5,695,"[<p lang=""en"">I believe this is the only Jo Malone boutique that you will find in So Cal that is not just a counter at a retail store such as Nordstrom or Neiman Marcus. I simply love this store and the very nice people who work there. I've been shopping at this boutique for a while and have been attending their events and launches for a few years. It's so much fun! I love all the JM scents and products. Dana is so knowledgeable about everything JM and makes me feel so special when I come in to shop to find out about a new scent or product or to just say hello! Give them a visit and say hello to Dana or Katherine \xa0and if it's your birthday you'll be invited for their hand massage!</p>]"
Megan S.,172,0,2,0,0,1,2,5,841,"[<p lang=""en"">If you are ever craving the royal treatment at South Coast Plaza head into Jo Malone and ask for Dana Beyer! I can't even describe her presence as ""customer service"" simply because once you meet her she becomes a dear friend within 30 seconds. I could literally spend hours in that store and discovering each product is like finding a gem. <br/><br/>I meandered into the store to look for bridesmaids gifts for my upcoming wedding and Dana was quick to help narrow down the perfect gifts. I ended up getting the bridesmaids mothers AND grandmothers a special JM gift with her help and expertise. To top it off (with a sleek black bow) she asked if she could have extra time to wrap each gift so they look extra special! I must say her gift wrapping skills could put Santa Claus to shame! <br/><br/>Thank you so much!</p>]"
Elena Z.,3,19,47,0,0,0,0,5,413,"[<p lang=""en"">Walked in just because I was curious and heard so many great things about this brand of scents. <br/>Gigi was a doll!!!! I picked up two different scents. She was so patient with me as a sampled everything and explained which scents go with other scents. <br/>Her customer service was top notch and because of that will return to purchase more products. <br/>Thank you Gigi. I love my new scents!</p>]"
Julie G.,1,0,21,0,0,1,1,5,1447,"[<p lang=""en"">JM at SCP is AMAZING. Excellent service wonderful product; great packaging charming storefront! Excellence every time!<br/><br/>The Product:<br/>Jo Malone is an amazing product; very classy wonderfully close to natural (as close as you can get without chemicals - I use mostly essential oils for scenting) and Jo Malone has a beautiful natural feel but has the lasting power of a perfume. Because you can layer scents using several different preferences the possibilities are endless. The lotions are amazing as well (and I have a small business where I make my own natural lotions and scrubs!) - creamy luxurious!<br/><br/>The Service:<br/>Dana is my absolute favorite! She has been my Jo Malone Go-To for the past two years and I am so thankful for her kind patient service. For my birthday I have visited JM for the royal birthday treatment for the past three years; two of which Dana hosted me and my best two girlfriends who also love the product. Hand massage; juice in a champagne glass; a little treat; and a chance to try some new scents - it is the perfect mini-vaca for an afternoon. Dana is AMAZING. Thank you for the incredible service!<br/><br/>My favorite scents:<br/>Wild Bluebell (a classic and a must-have!)<br/>Mimosa and Cardamom (layers so naturally with something fruity - like Nectarine or Bluebell)<br/>Earl Grey and Cucumber (a great blend of savory and sweet - refreshing but deep)<br/><br/>JB</p>]"
